Date,Open,High,Low,Close*,Adj Close**,Volume,Year,Month,Day,DayOfWeek,Daily_Return,Volatility,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_middle,BB_upper,BB_lower,Price_Momentum,Volume_MA5,Volume_MA20
2023-03-09,32876.83,32990.46,32190.6,32254.86,32254.86,315860000,2023,3,9,3,1.0818674231360736,0.8886352041802182,32002.722,32473.178499999998,,43.9139103855725,-413.4882932834771,-427.34471598500676,32473.178499999998,33609.87380323238,31336.48319676761,0.0002577019867242569,391082000.0,351065312.5
2023-03-08,32872.08,32903.44,32612.7,32798.4,32798.4,242750000,2023,3,8,2,1.6851414019468658,0.9819586526289327,32187.488,32438.9625,,55.0244790280993,-336.129710587702,-409.1017149055458,32438.9625,33485.313784434096,31392.611215565907,0.028983292951089368,355450000.0,348869812.5
2023-03-07,33428.31,33453.25,32838.21,32856.46,32856.46,299400000,2023,3,7,1,0.1770208302843912,0.9832258999298336,32327.7,32411.6665,,55.24957694629441,-267.0590294375943,-380.69317781195554,32411.6665,33377.58812158387,31445.744878416135,0.021802247833956345,336978000.0,349671812.5
2023-03-06,33425.32,33572.22,33383.47,33431.44,33431.44,329190000,2023,3,6,0,1.74997549949083,1.0560399819021167,32650.159999999996,32403.181,,63.4982261044168,-164.03306523807623,-337.3611552971797,32403.181,33327.17674740195,31479.18525259805,0.050670759800547804,316998000.0,350536812.5
2023-03-03,33076.33,33405.82,33008.41,33390.97,33390.97,300050000,2023,3,3,4,-0.12105371470687576,1.0324879515073562,32946.426,32409.022000000004,,64.84438861513027,-84.67377060611398,-286.82367835896656,32409.022000000004,33357.35643298407,31460.687567015942,0.0464226484535708,297450000.0,347852312.5
2023-03-02,32780.97,33083.45,32665.85,33003.57,33003.57,317450000,2023,3,2,3,-1.160193908712448,1.0270006300182661,33096.168,32416.249,,60.48327345722087,-52.43644551718171,-239.9462317906096,32416.249,33381.082442771636,31451.415557228363,0.023212315911462555,297768000.0,349555812.5
2023-03-01,32656.37,32746.15,32500.71,32661.84,32661.84,292810000,2023,3,1,2,-1.0354334394733655,1.0498381007225477,33068.856,32413.461000000003,,51.136465686010396,-53.842228475801676,-202.72543112764802,32413.461000000003,33374.94439598442,31451.977604015585,-0.0041636177374506644,307780000.0,348490812.5
2023-02-28,32873.47,32873.47,32636.43,32656.7,32656.7,303760000,2023,2,28,1,-0.015737019102413097,1.0240189178357726,33028.904,32426.5835,,54.97335444382227,-54.74006722143167,-173.12835834640478,32426.5835,33394.10786901775,31459.05913098225,-0.006079778527571134,308652000.0,351250812.5
2023-02-27,32906.16,33189.28,32814.18,32889.09,32889.09,243660000,2023,2,27,0,0.7116150743951444,1.03478528323783,32920.434,32449.433999999997,,62.86115695442349,-36.28145008799402,-145.75897669472263,32449.433999999997,33438.84427795457,31460.023722045426,-0.016222753192803085,291546000.0,348855812.5
2023-02-24,32999.19,32999.19,32643.48,32816.92,32816.92,277120000,2023,2,24,4,-0.21943446899868047,1.025177542358927,32805.623999999996,32478.403500000004,,57.74818171691566,-27.163257745978626,-122.03983290497384,32478.403500000004,33475.58778138595,31481.219218614064,-0.01719177370408831,286960000.0,346858312.5
2023-02-23,33175.39,33272.4,32795.67,33153.91,33153.91,288120000,2023,2,23,3,1.026878817390564,1.038247180669299,32835.691999999995,32530.836500000005,,67.5459722191745,7.172571100287314,-96.1973521039216,32530.836500000005,33555.31268858617,31506.360311413842,0.004555264778931534,281094000.0,344492812.5
2023-02-22,33169.33,33245.97,32948.27,33045.09,33045.09,321910000,2023,2,22,2,-0.328226746106286,1.0403683251866125,32912.342,32581.585500000005,,62.8061963283788,25.311325084105192,-71.89561666631624,32581.585500000005,33602.17251932762,31560.998480672388,0.01173387659727676,286914000.0,344288812.5
2023-02-21,33699.69,33699.69,33115.74,33129.59,33129.59,348320000,2023,2,21,1,0.2557112115597171,0.9798180251290668,33006.92,32610.034999999996,,70.33653950606927,45.97489216448594,-48.32151490015581,32610.034999999996,33659.47303647477,31560.596963525226,0.01448064256339432,295826000.0,343545312.5
2023-02-17,33677.01,33846.64,33517.73,33826.69,33826.69,302900000,2023,2,17,4,2.1041612648994734,1.0435957864117407,33194.439999999995,32689.1405,,75.03650245134523,117.24948298626987,-15.207315322870677,32689.1405,33854.681652227504,31523.599347772502,0.028507933785945516,307674000.0,340829812.5
2023-02-16,33992.09,34041.16,33686.59,33696.85,33696.85,317530000,2023,2,16,3,-0.3838389153653643,1.0001764834203992,33370.426,32780.884000000005,33064.583399999996,69.95485908339847,161.39761559038743,20.113670859780942,32780.884000000005,33961.049545129834,31600.718454870173,0.026813302406197836,315756000.0,329066000.0
2023-02-15,34008.63,34130.49,33833.1,34128.05,34128.05,267530000,2023,2,15,2,1.2796448332707877,1.0038266067460664,33565.254,32874.958999999995,33065.1812,68.99071352466147,228.54504010255187,61.79994470833513,32874.958999999995,34170.140124222846,31579.777875777145,0.02938235640984721,311638000.0,320395500.0
2023-02-14,34194.09,34331.47,33827.45,34089.27,34089.27,288820000,2023,2,14,1,-0.11363086962192792,0.9507164667126702,33774.090000000004,32985.694,33070.4434,67.70510496882082,275.4553579955318,104.53102736577446,32985.694,34299.31698808977,31672.071011910237,0.03159864294513959,305020000.0,313791000.0
2023-02-13,33887.39,34249.6,33887.39,34245.93,34245.93,302600000,2023,2,13,0,0.45955809555324745,0.9427466078087283,33997.358,33090.2205,33089.3246,63.29480051841364,321.56645767812006,147.93811342824358,33090.2205,34457.27005446276,31723.170945537244,0.03369616104515649,295876000.0,309333000.0
2023-02-10,33671.54,33897.31,33591.99,33869.27,33869.27,288150000,2023,2,10,4,-1.099867925911202,0.9469413735241404,34005.873999999996,33192.727,33096.0934,57.035106401755485,323.9818610456423,183.14686295172334,33192.727,34462.45860328596,31922.99539671404,0.001258769332736831,292926000.0,302286000.0
